trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,False,"{'a': 0.5, 'e': 0.8312500000000006}",25,0,-201.3364762334957,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8250000000000006}",20,0,-63.885213392583545,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8187500000000006}",20,0,-48.62941757238214,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8125000000000007}",25,0,-175.76882238306612,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.8062500000000007}",20,0,-127.75492796585522,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.8000000000000007}",30,0,-103.766892710797,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7937500000000007}",30,0,-129.3578971382158,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7875000000000008}",30,0,-70.09291938982221,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7812500000000008}",20,10,-18.745018865097585,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.7750000000000008}",20,0,-83.15002725008219,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.7687500000000008}",25,0,-162.46700203652472,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.7625000000000008}",20,0,-36.26127083089419,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.7562500000000009}",25,0,-28.154371704640724,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7500000000000009}",25,11,3.459920630683424,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7437500000000009}",20,0,-68.05635950652865,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7375000000000009}",25,0,-45.510174097925585,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.731250000000001}",25,0,-80.74549967287642,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.725000000000001}",20,0,-16.753259466037665,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.718750000000001}",25,4,-67.62521514565007,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.712500000000001}",30,0,-153.41453503224025,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.706250000000001}",30,0,-70.87077403143995,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7000000000000011}",25,3,-62.034284042809595,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6937500000000011}",25,16,-29.274935978251374,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6875000000000011}",30,0,-198.3260876415263,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.6812500000000011}",35,0,-54.0583052125021,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6750000000000012}",20,0,-71.93571480810017,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.6687500000000012}",20,0,-0.9763725292308219,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.6625000000000012}",25,0,-162.55014737648207,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.6562500000000012}",25,0,-61.724686728418234,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.6500000000000012}",20,11,-48.32758717958137,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.6437500000000013}",20,3,-31.222921663287792,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.6375000000000013}",20,0,-27.318817389382158,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.6312500000000013}",20,0,-28.616058521349565,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6250000000000013}",20,0,-85.00909588083879,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6187500000000014}",30,0,-119.49353355567264,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6125000000000014}",20,0,-54.34687332105414,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6062500000000014}",20,0,-118.27682980303885,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6000000000000014}",20,2,-36.584844921984335,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5937500000000014}",20,0,-147.40306048117446,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.5875000000000015}",30,0,-158.51784520336267,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.5812500000000015}",20,2,-43.41074879746788,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5750000000000015}",30,3,-39.036748817857365,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5687500000000015}",35,1,-111.76767844698068,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.5625000000000016}",30,14,-5.572570258012212,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.5562500000000016}",30,17,-27.194738965261635,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.5500000000000016}",30,13,-33.735019215649906,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.5437500000000016}",25,9,4.236837502092407,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.5375000000000016}",30,0,-28.741043885795666,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.5312500000000017}",20,0,-151.25743879883822,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.5250000000000017}",20,2,-3.243474072359757,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.5187500000000017}",20,0,-25.11560496077168,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.5125000000000017}",20,0,3.094563262858893,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.5062500000000018}",20,13,-29.068382269455338,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5000000000000018}",30,0,-35.67418278590397,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4937500000000018}",25,4,-63.323329527225276,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4875000000000018}",20,0,-83.73824949052106,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.48125000000000184}",25,16,6.632063780513385,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.47500000000000187}",25,0,-100.8834733621061,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4687500000000019}",20,0,-74.14066113300116,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4625000000000019}",20,0,-48.00602227170527,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
