trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.9157205572498945}",20,0,-111.32490201417347,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9148048366926447}",35,0,-226.8314359854351,"{0: 19, 1: 4, 2: 7, 3: 2, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.913890031855952}",30,0,-136.49256763954878,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.912976141824096}",30,0,-196.65515257003005,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.912063165682272}",30,5,-170.83710861103643,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.9111511025165897}",30,0,-178.4339481943429,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9102399514140731}",20,0,-153.0614159635408,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.9093297114626591}",20,0,-112.27710059881355,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9084203817511963}",20,0,-120.86646735395114,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9075119613694451}",20,0,-88.34351523602889,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9066044494080757}",25,0,-109.97202803133574,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9056978449586677}",35,0,-271.71871746053773,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 5}",0
101,False,"{'a': 0.5, 'e': 0.9047921471137089}",30,0,-167.5656620733793,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9038873549665952}",20,0,-134.83389608285586,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9029834676116286}",30,0,-206.284972854219,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.902080484144017}",25,0,-122.41189522005024,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.901178403659873}",30,5,-108.48747009768032,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.9002772252562131}",25,0,-146.9057740931399,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.8993769480309569}",20,0,-58.38777640080164,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8984775710829259}",30,0,-178.7919947840057,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.8975790935118431}",20,0,-88.99043556319987,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8966815144183312}",25,0,-210.55091198828737,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
111,False,"{'a': 0.5, 'e': 0.8957848329039129}",25,7,-50.881439591363424,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.894889048071009}",25,0,-81.79221888520622,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.8939941590229379}",20,0,-110.21246426983554,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.893100164863915}",20,0,-29.3901442855301,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8922070646990511}",25,0,-101.86084200924618,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.891314857634352}",25,0,-131.15303552088523,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.8904235427767176}",20,12,-16.162979119536722,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.889533119233941}",20,0,-45.41210358845333,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8886435861147071}",25,5,-89.85847300232555,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
